priority_tier,section,page_type,title,url,date,target_intent,action,owner,status,notes,clicks_before_7d,impressions_before_7d,ctr_before,position_before,clicks_after_7d,impressions_after_7d,ctr_after,position_after,delta_clicks_pct,delta_ctr_pct
P0,core,hub,Homepage,https://aibusiness.vc/,,commercial + informational,Monitor rankings + improve CTR titles/meta monthly,SEO,todo,Core page,,,,,,,,,,
P0,news,hub,Latest News,https://aibusiness.vc/news,,commercial + informational,Monitor rankings + improve CTR titles/meta monthly,SEO,todo,Core page,,,,,,,,,,
P0,tools,hub,Tools,https://aibusiness.vc/tools,,commercial + informational,Monitor rankings + improve CTR titles/meta monthly,SEO,todo,Core page,,,,,,,,,,
P0,tools,hub,Tools Directory,https://aibusiness.vc/tools/directory,,commercial + informational,Monitor rankings + improve CTR titles/meta monthly,SEO,todo,Core page,,,,,,,,,,
P0,models,hub,Models,https://aibusiness.vc/models,,commercial + informational,Monitor rankings + improve CTR titles/meta monthly,SEO,todo,Core page,,,,,,,,,,
P0,core,money,AI Visibility Audit,https://aibusiness.vc/audit,,commercial + informational,Monitor rankings + improve CTR titles/meta monthly,SEO,todo,Core page,,,,,,,,,,
P0,materials,money,ROI Calculator,https://aibusiness.vc/materials/roi-calculator,,commercial + informational,Monitor rankings + improve CTR titles/meta monthly,SEO,todo,Core page,,,,,,,,,,
P0,materials,money,Tool Selector,https://aibusiness.vc/materials/tool-selector,,commercial + informational,Monitor rankings + improve CTR titles/meta monthly,SEO,todo,Core page,,,,,,,,,,
P0,materials,money,Playbook Templates,https://aibusiness.vc/materials/playbook-templates,,commercial + informational,Monitor rankings + improve CTR titles/meta monthly,SEO,todo,Core page,,,,,,,,,,
P0,solo,hub,solo hub,https://aibusiness.vc/solo,,commercial + informational,Monitor rankings + improve CTR titles/meta monthly,SEO,todo,Core page,,,,,,,,,,
P0,startups,hub,startups hub,https://aibusiness.vc/startups,,commercial + informational,Monitor rankings + improve CTR titles/meta monthly,SEO,todo,Core page,,,,,,,,,,
P0,b2b,hub,b2b hub,https://aibusiness.vc/b2b,,commercial + informational,Monitor rankings + improve CTR titles/meta monthly,SEO,todo,Core page,,,,,,,,,,
P0,vc,hub,vc hub,https://aibusiness.vc/vc,,commercial + informational,Monitor rankings + improve CTR titles/meta monthly,SEO,todo,Core page,,,,,,,,,,
P0,government,hub,government hub,https://aibusiness.vc/government,,commercial + informational,Monitor rankings + improve CTR titles/meta monthly,SEO,todo,Core page,,,,,,,,,,
P0,learn,hub,learn hub,https://aibusiness.vc/learn,,commercial + informational,Monitor rankings + improve CTR titles/meta monthly,SEO,todo,Core page,,,,,,,,,,
P0,materials,hub,materials hub,https://aibusiness.vc/materials,,commercial + informational,Monitor rankings + improve CTR titles/meta monthly,SEO,todo,Core page,,,,,,,,,,
P1,solo,article,AI Agent Maintenance Retainers in 2026: How Agencies Build Stable MRR,https://aibusiness.vc/solo/ai-agent-maintenance-retainer-model,2026-04-28,how-to + ROI + benchmark,Improve CTR + add 3 internal links + refresh facts,Editorial + SEO,done,Top recency candidate | Week3 CTR metadata update shipped 2026-04-30,,,,,,,,,,
P1,solo,article,12 AI Agent Services You Can Sell in 2026 (Pricing + Margins),https://aibusiness.vc/solo/ai-agent-services-12-offers-2026,2026-04-28,how-to + ROI + benchmark,Improve CTR + add 3 internal links + refresh facts,Editorial + SEO,done,Top recency candidate | Week3 CTR metadata update shipped 2026-04-30,,,,,,,,,,
P1,solo,article,How to Sell AI Chatbots to Local Businesses in 2026 ($5K-$50K per Client),https://aibusiness.vc/solo/ai-chatbot-local-business,2026-04-28,how-to + ROI + benchmark,Improve CTR + add 3 internal links + refresh facts,Editorial + SEO,done,Top recency candidate | Week3 CTR metadata update shipped 2026-04-30,,,,,,,,,,
P1,solo,article,AI CRM Migration Service in 2026: High-Ticket Offer with Real ROI,https://aibusiness.vc/solo/ai-crm-migration-service-playbook-2026,2026-04-28,how-to + ROI + benchmark,Improve CTR + add 3 internal links + refresh facts,Editorial + SEO,done,Top recency candidate | Week3 CTR metadata update shipped 2026-04-30,,,,,,,,,,
P1,solo,article,"AI-First Website Service in 48 Hours (2026): Offer, Stack, Pricing",https://aibusiness.vc/solo/ai-first-website-service-48h,2026-04-28,how-to + ROI + benchmark,Improve CTR + add 3 internal links + refresh facts,Editorial + SEO,done,Top recency candidate | Week3 CTR metadata update shipped 2026-04-30,,,,,,,,,,
P2,solo,article,AI for Teachers: How Educators Build a Real $2K-$8K/Month Income Engine,https://aibusiness.vc/solo/ai-for-teachers-income,2026-04-28,how-to + ROI + benchmark,Refresh intro/metadata and add internal links,Editorial + SEO,done,Section support page | Week4 content quality sprint shipped 2026-04-30,,,,,,,,,,
P2,solo,article,AI Lead Qualification Service: Build a Focused Agency Offer That SMBs Actually Buy,https://aibusiness.vc/solo/ai-lead-qualification-service-business,2026-04-28,how-to + ROI + benchmark,Refresh intro/metadata and add internal links,Editorial + SEO,done,Section support page | Week4 content quality sprint shipped 2026-04-30,,,,,,,,,,
P2,solo,article,AI Micro-SaaS in 2026: How to Build a Real $5K/Month Product Without a Team,https://aibusiness.vc/solo/ai-micro-saas-7-days,2026-04-28,how-to + ROI + benchmark,Refresh intro/metadata and add internal links,Editorial + SEO,todo,Section support page,,,,,,,,,,
P2,solo,article,"AI Music Production: How Producers Earn $2K-$10K/Month with Suno, Udio, and AIVA",https://aibusiness.vc/solo/ai-music-production-income,2026-04-28,how-to + ROI + benchmark,Refresh intro/metadata and add internal links,Editorial + SEO,todo,Section support page,,,,,,,,,,
P2,solo,article,AI + Notion Ops Consulting: A High-Demand Service for Lean Teams in 2026,https://aibusiness.vc/solo/ai-notion-ops-consulting-business-2026,2026-04-28,how-to + ROI + benchmark,Refresh intro/metadata and add internal links,Editorial + SEO,todo,Section support page,,,,,,,,,,
P2,solo,article,"AI Outbound Agency in 2026: Offer Design, Pricing, and Real Margin Math",https://aibusiness.vc/solo/ai-outbound-agency-offer-2026,2026-04-28,how-to + ROI + benchmark,Refresh intro/metadata and add internal links,Editorial + SEO,todo,Section support page,,,,,,,,,,
P2,solo,article,"AI Video Generation Business: $5K-$25K/Month Creating Videos with Sora, Runway, and Kling",https://aibusiness.vc/solo/ai-video-generation-business,2026-04-28,how-to + ROI + benchmark,Refresh intro/metadata and add internal links,Editorial + SEO,todo,Section support page,,,,,,,,,,
P2,solo,article,AI Voice Cloning Business in 2026: A Practical Path to $3K-$15K/Month,https://aibusiness.vc/solo/ai-voice-cloning-business,2026-04-28,how-to + ROI + benchmark,Refresh intro/metadata and add internal links,Editorial + SEO,todo,Section support page,,,,,,,,,,
P2,solo,article,Claude Code for Developers: How to Earn $10K-$50K/Month Building with AI,https://aibusiness.vc/solo/claude-code-developer-income,2026-04-28,how-to + ROI + benchmark,Refresh intro/metadata and add internal links,Editorial + SEO,todo,Section support page,,,,,,,,,,
P2,solo,article,Cursor AI for Freelancers: How Developers Earn $150-$300/Hour Building Apps 10x Faster,https://aibusiness.vc/solo/cursor-ai-freelancer-guide,2026-04-28,how-to + ROI + benchmark,Refresh intro/metadata and add internal links,Editorial + SEO,todo,Section support page,,,,,,,,,,
P2,solo,article,Programmatic SEO as a Service: How to Sell It Without Shipping Spam,https://aibusiness.vc/solo/programmatic-seo-as-a-service-2026,2026-04-28,how-to + ROI + benchmark,Refresh intro/metadata and add internal links,Editorial + SEO,todo,Section support page,,,,,,,,,,
P2,solo,article,"Vibe Coding Income Guide 2026: How Non-Developers Earn $4,800/Month Building Apps",https://aibusiness.vc/solo/vibe-coding-income-guide,2026-04-28,how-to + ROI + benchmark,Refresh intro/metadata and add internal links,Editorial + SEO,todo,Section support page,,,,,,,,,,
P2,solo,article,AI Agency to $100K/Month: The Scaling Playbook from Solo to Team,https://aibusiness.vc/solo/ai-agency-owner-100k,2026-04-01,how-to + ROI + benchmark,Refresh intro/metadata and add internal links,Editorial + SEO,todo,Section support page,,,,,,,,,,
P2,solo,article,AI-Powered Dropshipping: How Sellers Use AI to Find Winners and Scale to $10K/Month,https://aibusiness.vc/solo/ai-dropshipping-2026,2026-04-01,how-to + ROI + benchmark,Refresh intro/metadata and add internal links,Editorial + SEO,todo,Section support page,,,,,,,,,,
P2,solo,article,AI Email Marketing Freelancer: $3K-$8K/Month Writing Sequences That Convert,https://aibusiness.vc/solo/ai-email-marketing-freelance,2026-04-01,how-to + ROI + benchmark,Refresh intro/metadata and add internal links,Editorial + SEO,todo,Section support page,,,,,,,,,,
P1,startups,article,AI Wrapper Startups in 2026: Why Distribution Beats Model Access,https://aibusiness.vc/startups/ai-wrapper-startups-2026,2026-04-28,how-to + ROI + benchmark,Improve CTR + add 3 internal links + refresh facts,Editorial + SEO,done,Top recency candidate | Week4 content quality sprint shipped 2026-04-30,,,,,,,,,,
P1,startups,article,"MCP Servers in 2026: Startup Opportunities, Revenue Models, and Moats",https://aibusiness.vc/startups/mcp-servers-business-opportunity,2026-04-28,how-to + ROI + benchmark,Improve CTR + add 3 internal links + refresh facts,Editorial + SEO,done,Top recency candidate | Week4 content quality sprint shipped 2026-04-30,,,,,,,,,,
P1,startups,article,15 AI Startup Metrics Investors Track in 2026 (With Benchmarks),https://aibusiness.vc/startups/ai-startup-metrics-investors-track,2026-04-04,how-to + ROI + benchmark,Improve CTR + add 3 internal links + refresh facts,Editorial + SEO,todo,Top recency candidate,,,,,,,,,,
P1,startups,article,AI Cybersecurity Startups in 2026: The $30B+ Market and Who's Winning,https://aibusiness.vc/startups/ai-cybersecurity-companies,2026-04-01,how-to + ROI + benchmark,Improve CTR + add 3 internal links + refresh facts,Editorial + SEO,todo,Top recency candidate,,,,,,,,,,
P1,startups,article,AI Defense Startups in 2026: The $100B+ Contract Market Explained,https://aibusiness.vc/startups/ai-defense-contracts,2026-04-01,how-to + ROI + benchmark,Improve CTR + add 3 internal links + refresh facts,Editorial + SEO,todo,Top recency candidate,,,,,,,,,,
P2,startups,article,AI Education: The $400B Market Where Startups Are Replacing Textbooks,https://aibusiness.vc/startups/ai-education-companies,2026-04-01,how-to + ROI + benchmark,Refresh intro/metadata and add internal links,Editorial + SEO,todo,Section support page,,,,,,,,,,
